object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
373017346,tess,0.0021327570222267472,0.21,non-planet,candidate,PC,10.6925011,2459759.877559,3.491,1200.0,4.01292,865.0,93.3426,5844.0,4.34318,1.15,306.137819,87.071156
23229805,tess,0.016296971600344587,1.63,non-planet,candidate,PC,8.8517354,2459778.550072,4.3401879,1034.8661285,3.6624912,947.2477653,190.2722086,6138.0,4.43818,1.07689,274.760444,34.045704
229581160,tess,0.001214884275304717,0.12,non-planet,candidate,PC,3.4149091,2459911.846148,2.7231879,13219.6475165,13.9171881,1228.3213942,537.9836369,5480.0,4.31394,1.13032,270.165725,72.939501
243333538,tess,0.0008263522616713483,0.08,non-planet,non-planet,FP,2.9985667,2459772.753949,3.025166,28040.9068572,17.8036847,1333.854734,748.0922226,6126.0,4.46702,1.04172,289.839513,56.93037
229671380,tess,0.010845348824512805,1.08,non-planet,candidate,PC,3.939371,2459392.576251,5.8132051,4051.5089426,13.6344163,1703.4303761,1989.8418083,5904.4,3.84,2.0955601,252.125998,74.76375
230129753,tess,0.004204343059648439,0.42,non-planet,candidate,PC,5.7475343,2459840.458684,1.846,11890.0,6.43097,528.0,12.9407,3750.0,4.67041,0.58,251.827318,67.298053
1449640,tess,0.007561032661264117,0.76,non-planet,non-planet,APC,3.5018023,2458440.43161,3.917956,16196.191206,22.103526,1648.3426761,1744.6608389,6383.9,4.03,1.66889,75.17158,-35.202674
461635621,tess,0.000870485089090524,0.09,non-planet,candidate,PC,28.6648749,2460437.031199,5.395,1025.0,3.15161,917.0,117.442,4818.0,4.65,0.69,19.91003,85.13439
149282072,tess,0.0009281072419460699,0.09,non-planet,non-planet,FP,3.7006742,2459761.942759,3.115,840.0,2.61277,1714.0,1434.65,5025.0,4.56,0.79,279.146891,16.45244
441589581,tess,0.000771784336186358,0.08,non-planet,candidate,PC,8.0379975,2459602.566546,3.287,320.0,7.65886,841.0,83.2088,5022.0,,5.14,113.133261,75.789688
441763252,tess,0.0014651751589388827,0.15,non-planet,candidate,PC,2.7708596,2459848.554322,2.17,22640.0,12.2577,1058.0,208.594,4975.0,4.55845,0.79,260.575023,72.645373
441763252,tess,0.0014651751589388827,0.15,non-planet,candidate,PC,7.014001,2459424.229778,2.9681334,1646.6732684,3.6528621,752.2846294,75.6935339,4975.0,4.55845,0.789304,260.575023,72.645373
441763252,tess,0.000563750057985943,0.06,non-planet,candidate,PC,2.7708596,2459848.554322,2.17,22640.0,12.2577,1058.0,208.594,4975.0,4.55845,0.79,260.575023,72.645373
441763252,tess,0.000563750057985943,0.06,non-planet,candidate,PC,7.014001,2459424.229778,2.9681334,1646.6732684,3.6528621,752.2846294,75.6935339,4975.0,4.55845,0.789304,260.575023,72.645373
14091633,tess,0.0005371526441869288,0.05,non-planet,non-planet,APC,5.5292743,2459176.31925,2.542935,17914.4576673,23.5458512,1234.7287098,549.2969498,6350.0,4.34,1.26396,77.260156,-36.464478
64531556,tess,0.0011268662634663727,0.11,non-planet,non-planet,FP,7.8127906,2459813.939921,6.304,8120.0,22.0599,1874.0,2051.05,8451.0,4.00707,2.38,309.461444,37.155939
233823679,tess,0.004932468218841165,0.49,non-planet,candidate,PC,2.7586362,2459819.787515,2.868,4240.0,7.78435,1475.0,787.087,5774.0,4.32015,1.17,303.549181,54.694405
272707711,tess,0.018638943392911774,1.86,non-planet,candidate,PC,2.6890703,2459420.963218,2.1209962,38330.4094984,15.2271225,1012.661107,248.5292583,4844.0,4.54518,0.785703,296.683099,42.967882
193754373,tess,0.003639731854000097,0.36,non-planet,candidate,PC,3.9540617,2459818.051018,3.869,5820.0,13.1238,1477.0,792.078,5773.0,4.03,1.69,306.422081,45.971031
298297931,tess,0.02308712546446723,2.31,non-planet,candidate,PC,4.4331838,2460555.320385,3.856,9166.0,12.5157,1268.0,430.349,5667.0,4.24,1.26,308.6508,29.238102
263218688,tess,0.000357206517805832,0.04,non-planet,candidate,PC,1.5076298,2459794.386139,1.93,280.0,4.68666,1491.0,820.873,4954.0,,2.82,298.686935,23.060942
40466976,tess,0.001106067388121101,0.11,non-planet,candidate,PC,32.535016,2460318.212526,3.67,3821.0,,669.0,33.301,6303.8,,,293.328194,33.482606
120826158,tess,0.022973008817777467,2.3,non-planet,planet,CP,5.1830043,2459765.914829,2.783,670.0,3.63045,1202.0,346.626,6156.0,4.25196,1.34,286.362495,37.02599
