object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 215125108.01,k2,9.37934416404293e-08,0.0,non-planet,candidate,CANDIDATE,0.738067,260.0,,,,,1.0,0.0,,,25.0,,282.0379454,-24.8844084,5304.36,14.823,10.92,14.171
EPIC 215171927.01,k2,2.3734763544531167e-06,0.0,non-planet,candidate,CANDIDATE,4.135707,1.59980974,,,,,1.0,0.0,4972.0,4.52,0.76364,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.01,k2,2.3734763544531167e-06,0.0,non-planet,candidate,CANDIDATE,4.13556,1.44,,,,,1.0,0.0,,,0.761,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.01,k2,6.380033569258402e-08,0.0,non-planet,candidate,CANDIDATE,4.135707,1.59980974,,,,,1.0,0.0,4972.0,4.52,0.76364,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.01,k2,6.380033569258402e-08,0.0,non-planet,candidate,CANDIDATE,4.13556,1.44,,,,,1.0,0.0,,,0.761,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.02,k2,2.4708462431185743e-06,0.0,non-planet,candidate,CANDIDATE,6.631247,1.35955936,,,,,1.0,0.0,4972.0,4.52,0.76364,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.02,k2,2.4708462431185743e-06,0.0,non-planet,candidate,CANDIDATE,6.63107,1.52,,,,,1.0,0.0,,,0.761,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.02,k2,6.363656845723282e-08,0.0,non-planet,candidate,CANDIDATE,6.631247,1.35955936,,,,,1.0,0.0,4972.0,4.52,0.76364,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215171927.02,k2,6.363656845723282e-08,0.0,non-planet,candidate,CANDIDATE,6.63107,1.52,,,,,1.0,0.0,,,0.761,,295.0364167,-24.7829615,215.626,13.056,10.81,12.8195
EPIC 215175768.01,k2,2.8930645524365757e-08,0.0,non-planet,candidate,CANDIDATE,1.726115,5.6,,,,,1.0,0.0,,,0.839,,281.8272071,-24.774772,372.764,13.961,11.435,13.5994
