object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec,koi_model_snr,koi_kepmag
9729691,kepler,0.9998492010240365,99.98,planet,planet,CONFIRMED,8.689301216,133.661284,2.563,1117.0,2.92,782.0,88.24,5211.0,4.447,0.895,298.60788,46.453678,70.9,14.548
9729691,kepler,0.9998492010240365,99.98,planet,planet,CONFIRMED,20.99757968,132.05689,2.454,1131.8,2.97,582.0,27.2,5211.0,4.447,0.895,298.60788,46.453678,44.7,14.548
9729691,kepler,0.9991782514747863,99.92,planet,planet,CONFIRMED,8.689301216,133.661284,2.563,1117.0,2.92,782.0,88.24,5211.0,4.447,0.895,298.60788,46.453678,70.9,14.548
9729691,kepler,0.9991782514747863,99.92,planet,planet,CONFIRMED,20.99757968,132.05689,2.454,1131.8,2.97,582.0,27.2,5211.0,4.447,0.895,298.60788,46.453678,44.7,14.548
10904857,kepler,0.9994030253450766,99.94,planet,planet,CONFIRMED,3.120828136,139.466594,2.1878,16456.0,14.16,1303.0,680.79,6122.0,4.471,0.996,282.96616,48.34507,113.5,14.804
8651389,kepler,0.9997386283249652,99.97,planet,planet,CONFIRMED,15.13590453,146.58371,2.236,255.7,2.57,933.0,179.16,6050.0,4.137,1.572,299.95721,44.771889,19.8,13.964
7871954,kepler,0.9999118270946159,99.99,planet,planet,CONFIRMED,1.937029968,134.72107,1.4727,312.3,0.87,802.0,97.94,4042.0,4.761,0.49,283.13547,43.657051,42.8,14.39
7871954,kepler,0.9999118270946159,99.99,planet,planet,CONFIRMED,7.06117322,136.27344,1.0406,481.7,1.23,521.0,17.41,4042.0,4.761,0.49,283.13547,43.657051,27.2,14.39
7871954,kepler,0.9999893386881961,100.0,planet,planet,CONFIRMED,1.937029968,134.72107,1.4727,312.3,0.87,802.0,97.94,4042.0,4.761,0.49,283.13547,43.657051,42.8,14.39
7871954,kepler,0.9999893386881961,100.0,planet,planet,CONFIRMED,7.06117322,136.27344,1.0406,481.7,1.23,521.0,17.41,4042.0,4.761,0.49,283.13547,43.657051,27.2,14.39
12418724,kepler,0.9999791135977559,100.0,planet,planet,CONFIRMED,20.55331441,139.5613,5.3136,678.3,3.19,749.0,74.49,6325.0,4.409,1.112,296.4032,51.271339,40.6,14.829
7456001,kepler,0.9999685085477622,100.0,planet,planet,CONFIRMED,40.0686713,151.80901,5.8875,970.9,3.1,560.0,23.27,6026.0,4.411,0.992,294.95685,43.014332,62.0,14.683
10028792,kepler,0.9996967894331927,99.97,planet,planet,CONFIRMED,114.73658,165.150671,12.0355,4850.0,12.28,476.0,12.13,5597.0,3.963,1.699,297.91687,46.96513,230.6,14.6
10028792,kepler,0.9996967894331927,99.97,planet,planet,CONFIRMED,191.239133,286.22034,16.942,1061.2,6.47,401.0,6.14,5597.0,3.963,1.699,297.91687,46.96513,36.8,14.6
10028792,kepler,0.9996967894331927,99.97,planet,candidate,CANDIDATE,5.83393857,132.63426,4.5813,134.4,1.98,1285.0,642.83,5597.0,3.963,1.699,297.91687,46.96513,17.6,14.6
10028792,kepler,0.9996967894331927,99.97,planet,candidate,CANDIDATE,8.9772888,133.44748,4.72,97.5,1.79,1113.0,362.75,5597.0,3.963,1.699,297.91687,46.96513,10.3,14.6
10028792,kepler,0.9993510011572659,99.94,planet,planet,CONFIRMED,114.73658,165.150671,12.0355,4850.0,12.28,476.0,12.13,5597.0,3.963,1.699,297.91687,46.96513,230.6,14.6
10028792,kepler,0.9993510011572659,99.94,planet,planet,CONFIRMED,191.239133,286.22034,16.942,1061.2,6.47,401.0,6.14,5597.0,3.963,1.699,297.91687,46.96513,36.8,14.6
10028792,kepler,0.9993510011572659,99.94,planet,candidate,CANDIDATE,5.83393857,132.63426,4.5813,134.4,1.98,1285.0,642.83,5597.0,3.963,1.699,297.91687,46.96513,17.6,14.6
10028792,kepler,0.9993510011572659,99.94,planet,candidate,CANDIDATE,8.9772888,133.44748,4.72,97.5,1.79,1113.0,362.75,5597.0,3.963,1.699,297.91687,46.96513,10.3,14.6
5299459,kepler,0.9999758300564303,100.0,planet,planet,CONFIRMED,10.41572666,143.04774,2.7719,825.3,3.01,797.0,95.64,5511.0,4.426,0.987,297.79514,40.417709,69.3,14.072
5299459,kepler,0.9999758300564303,100.0,planet,planet,CONFIRMED,13.08424286,132.63129,3.0401,662.0,2.71,739.0,70.51,5511.0,4.426,0.987,297.79514,40.417709,51.2,14.072
